title,content,relevance
Postponement of B.Tech S3 (Regular including PTDC) (2019 scheme) December 2020," Postponement of B.Tech S3 (Regular including PTDC) (2019 scheme) December 2020 examinations scheduled to commence from 24.03.2021 onwards - Notification
Postponement of B.Tech S3 (Regular including PTDC) (2019 scheme)
",1
MCA Integrated S6 (R) Exam May 2020- Publication of Result - Notified - Reg.," It is hereby notified that the result of MCA Integrated S6 (R) Exam May 2020 is published. The detailed results are available under 'Results' tab of the University website and College login.
",1
Notification - B.Tech S6 Hons - Revised Max. mark and duration of exam," Please download attached notification regarding revised maximum mark and exam duration
",1
Detailed Time Table of B.Tech S6 (Honours) June 2020 examination - Notification - reg:," The detailed Time Table of B.Tech S6 (Honours) June 2020 examination, scheduled on23rd March 2021, Tuesday, (9.30am - 12.30pm) is published herewith.
",1
"Exam Registration opened - M.Tech S1 (R,S) (FT & PT) Exams Dec 2020"," It is hereby informed that the supplementary registration to M.Tech S1 (R,S) (FT & PT) Exams Dec 2020 is opened. Students are directed to register and pay the fee at their College offices on or before 23.03.2021, Tuesday. Request submission by Colleges to University through portal: on or before 24.03.2021, Wednesday.
",1
"M.Tech S2(R) Exam May 2020 Kannur, Ernakulam II, Alappuzha & PTA Clusters - Publication of Results - Notified - Reg."," The results of M.Tech S2(R) Exam May 2020 Kannur, Ernakulam II, Alappuzha & PTA Clusters are published. The detailed results are available under 'Results' tab of the University website and college login.
",1
Session on  Simulation of Autonomous Robotic Systems,,0
"Exam Registration opened - MBA T5 (R,S) (FT & PT) Exams April 2021"," t is hereby informed that the supplementary registration to MBA T5 (R,S) (FT & PT) Exams April 2021 is opened. Students are directed to register and pay the fee at their College offices on or before 19.03.2021, Friday. Request submission by Colleges to University through portal: on or before 20.03.2021, Saturday.
",1
Detailed Time Table of MBA S1 Regular (2020 scheme) (including Part-Time) March 2021 Examinations - Revised Notification - reg:," The revised detailed Time Table of MBA S1 Regular (2020 scheme) Examinations March 2021(including Part-Time) is published herewith.
",1
Centre change - Date extended - B.Tech S3 (R) Exam Dec 2020," Date for applying for centre change of B.Tech S3 (R) Exam Dec 2020 is extended up to 17.03.2021, Wednesday (Today) evening.
",1
Academic - Non Credit courses of B.Tech Programme - Conduct of Examinations - Clarifications - Orders issued - Reg,,0
The schedule of even semester classes for Academic Year 2020-21," The schedule of even semester classes for Academic Year 2020-21 is published herewith.
",0
"Time schedule of B.Tech (2015 scheme) S3 (S,FE) Examinations (including PTDC) December 2020 - Notification - reg.",,0
Notification for Admission to PhD 2020 - 21-reg," APJ Abdul Kalam Technological University, Kerala invites applications from eligiblecandidates for Ph.D. admission in colleges affiliated to the University. Application must besubmitted online as specified in the website (app.ktu.edu.in). Last date for submission ofapplication is 31.03.2021. Further details regarding the notification and the Syllabus forPh.D. Entrance Examination 2020-21, are attached herewith.
",0
APJ Abdul Kalam Technological University-Schedule for Readmission 2020- 21 Even semesters- Orders issued,,0
Examination centre change opened - B.Tech S3 (R) Exam Dec 2020 (2019 scheme)," It is hereby notified that students appearing for B.Tech S3 (R) Exam Dec 2020 (2019 scheme) can apply for change of exam centre through student login in KTU portal up to 16.03.2021, Tuesday. Download the Notification for more details. Please see the Guidelines before applying through portal.
Guidelines - Centre change
",1
Result published - M.Tech S2 (R) May 2020 exam (Kottayam cluster)," It is hereby informed that result of M.Tech S2 (R) Exam May 2020 (Kottayam cluster) is published. See notification for more details
",1
Result published - B.Arch S6 Exam May 2020," It is hereby notified that the result of B.Arch S6 Exam May 2020 is published. Please download the Notification for more details.
",1
"The Academic Calendar for all Final semesters UG and PG Programmes (B.Tech S8, B.Arch S10, M.Arch S4, M. Plan S4, M.Tech S4, MBA T6, MCA S6, Int MCA S10) is published herewith.",,0
Examination centre change opened - B.Tech S6 (Hons.) Exam June 2020," It is hereby notified that students appearing for B.Tech S6 (Hons.) Exam June 2020 (Academic Year: 2019-20) can apply for change of exam centre through student login in KTU portal up to 15.03.2021, Monday. Download the Notification for more details. Please see the Guidelines before applying through portal.
Guidelines - Centre change
",1
"Exam Registration opened - B.Tech S1 (PT) (S,FE) Exam Dec 2020"," It  is hereby  informed  that  registration  to B.Tech S1 (PT) (S,FE) Exam Dec 2020 is  opened.  Students  are  directed  to  register  and  pay  the  fee  at  their College offices on or before 13.03.2021, Saturday. Request submission by Colleges to University through portal: on or before 15.03.2021, Monday
",1
Result published - B.Tech S1 (S) (PT) Sept 2020 exam," It is hereby notified that the result of B.Tech S1 (S) (PT) Sept 2020 Examination is published. Download the notification for more details
",1
Call for Cohort 4 program of Cisco thingQbator," Last Date: 15 MAR 2021
",0
APJAKTU- Plan to complete academic requirements of Final semester students (UG/PG),,0
"Interview Shortlisted Students in Infosys drive ( 2021 Pass outs), facilitated by KTU","Shortlisted student details for the interview
",0
MCA Integrated S4 (R) Exam May 2020- Publication of Result - Notified - Reg," The result of MCA Integrated S4 (R) Exam May 2020 is published. Thedetailed results are available under 'Results' tab of the University website and College login.
",1
Admission of B. Tech Lateral Entry (LET) 2020-21," It is informed that only the students having LET rank published by CEE, Kerala canbe admitted in LET category. Therefore, only the students having LET rank will be permitted toregister in the University portal.
",0
Academic -Regulations for B.Tech (Evening) 2020 - B.Tech(2019 - Full Time) Regulations made applicable - Orders issued.,,0
Postponement of the slot P - Research and Publication Ethics (PhD only) December 2020 examination - Reg:," I t is hereby notified to the attention of those concerned that the slot P - Research and Publication Ethics (PhD only)scheduled to be conducted on 09.04.2021 has been postponed to 28.04.2021, Wednesday, ( 9.30 AM to 12.30 PM.)
",1
"Detailed Time Table of MBA T5 (R,S) (including Part-Time) and T8 (R) Part-Time April 2021 Examinations - Notification - reg:"," The detailed Time Table of MBA T5 (R,S) (including Part-Time) and T8(R) Part-TimeExaminations April 2021 is published herewith.
",1
Additional list of 97 Massive Open Online Courses (MOOC) - Approved - Orders issued - Reg,,0
MCA S4 (R) Exam May 2020 - Publication of Result - Notified - Reg.," The result of MCA S4 (R) Exam May 2020 is published. The detailed resultsare available under 'Results' tab of the University website and College login.
",0
Launch of Ujjaini - Virtual Startup Incubation Program for KTU Women Faculty members," ""Ujjaini"" is a virtual startup ideation and incubation program exclusively for Women faculty members of KTU colleges.The inauguration of the program is scheduled for Monday, March 8, 2021 at 3 PM IST by our Hon. VC. Other speakers for the session are :1. Dr. P.V Unnikrishnan, Strategic Advisor K-DISC2. Mr. Tapan Rayaguru, CEO Kerala Startup Mission3. Dr. Chandra Vadhana, CEO PrayaanaMeeting ID: 885 1642 0861Passcode: 351890
",0
Provision to apply for UG and PG Official Transcript through e- portal - reg,,0
Detailed Time Table of MBA S1 Regular (2020 scheme) (including Part-Time) March 2021 Examinations - Notification - reg:," he detailed Time Table of MBA S1 Regular (2020 scheme) Examinations March 2021(including Part-Time) is published herewith.
",1
MCA (INT) S2 (S) Exam Sept 2020- Publication of Result - Notified - Reg.," The result of MCA (INT) S2 (S) Exam Sept 2020 is published herewith. The detailed results are available in student and college login.
",1
Revised time table slots of odd semester UG and PG exams December 2020 - Notification - reg:,,0
"Last date to submit abstract for the CSI-InApp Project Awards,  in which APJ Abdul Kalam Technological University is associating as the Academic partner, has been extended to April 10, 2021.",,0
APJAKTU - Detailed Time Table of MBA S1 Regular (2020 scheme) March 2021 Examinations - Notification - reg:,,0
APJAKTU - Detailed Time Table of MBA T5 Regular and Supplementary April 2021 Examinations - Notification - reg:," The detailed Time Table of MBA T5 Regular and Supplementary ExaminationsApril 2021 (including Part-Time) is published herewith.
",1
"Examination centre change opened - MCA. MCA Integrated, MCA 2nd year direct"," It is hereby notified that students appearing for MCA S3 (R,S) Exam Dec 2020, MCA 2nd Yr Direct S1 (S) Exam Dec 2020 and MCA Integrated S3 (R,S) Exam Dec 2020 can apply for change of exam centre through student login in KTU portal up to 05.03.2021, Friday. Download the Notification for more details. Please see the Guidelines before applying through portal.
Guidelines - Centre change
",0
"Examination centre change opened - B.Tech S3 (2015 scheme), B.Arch and BHMCT S3"," It is hereby notified that students appearing for B.Tech S3 (S,FE) Exam Dec 2020 (2015 scheme), B.Arch S3 (R,S) Exam Dec 2020 and BHMCT S3 (R,S) Exam Dec 2020 can apply for change of exam centre through student login in KTU portal up to 06.03.2021, Saturday. Please see the Guidelines before applying through portal.
Guidelines - Centre change
",1
Formation of District-wise Examination Squads(DES),,0
"M.TECH S2 (R) Exam May 2020 Trivandrum, Ernakulam I, Palakkad, Kollam, Thrissur and Calicut Clusters - Publication of Results - Notified - Reg.",,0
M.Tech S2 (S) Exam Sept 2020 Palakkad Cluster- Publication of Results - Notified - Reg.," It is hereby notified that the result of M.Tech S2 (S) Exam Sept 2020 Palakkad Cluster is published. Thedetailed results are available under the 'Results' tab of the University website and College login.Candidates who desire to apply for the copy of the answer scripts can register through the portal from01.03.2021 till 06.03.2021 (date applicable for both student and college) by remitting a fee of ₹500. Laterequests for answer scripts will not be allowed.
",0
MCA S2 (S) Exam Sept 2020 - Publication of Result - Notified -Reg.," It is hereby notified that the result of MCA S2 (S) Exam Sept 2020 is published herewith. The detailedresults are available in student and college login.Candidates who desire to apply for the copy of the answer scripts can register through the portalfrom 01.03.2021 till 06.03.2021 (date applicable for both student and college) by remitting a fee of₹500. Late requests for answer scripts will not be allowed.
",0
Extension of class duration of S1 UG Programmes/M.Tech/MCA/Int MCA/M.Plan/ M.Arch regarding:-Revised,,0
Circular - Exam on 02.03.2021 postponed," It is hereby informed that University examinations (of all programmes) scheduled to conduct on 02.03.2021, Tuesday is hereby postponed. Revised date of examinations will be informed later.
",1
Circular - 'Withheld' status of results," Circular regarding complaint from students on the ""Withheld status"" of results is attached herewith
",1
Result Published - B.Tech S4 (S) Exam Sept 2020," It is hereby notified that the result of B.Tech S4 (S) Exam Sept 2020 is published. Please download the Notification for more details.
",1
M.Tech S2 (S) Exam Sept 2020 Ernakulam II Cluster - Publication of Result - Notified -Reg.," The result of M.Tech S2(S) Exam Sept 2020 Ernakulam II Cluster is published herewith. The detailed results are available instudent and college login.
",0
Time schedule for B.Tech (2015 scheme) S5 Regular and Supplementary Examinations (including PTDC) December 2020 - Notification - reg.,,0
Extension of class duration of S1 B.Tech/M.Tech/MCA/M.Plan/M.Arch: regarding:-,,0
Applications are invited to the following positions in APJ Abdul Kalam Technological University:,,0
"M.Tech S2 (S) Exam Sept 2020 Kannur, Ernakulam I Clusters - Publication of Results - Notified - Reg."," The results of M.Tech S2(S) Exam Sept 2020 Kannur and Ernakulam I Clusters are published herewith. The detailed results are available in student andcollege login.
",1
Exam Registration opened - B.Tech Part-Time S3 (S) Exam Dec 2020," It is hereby informed that registration to the Third Semester B.Tech (Part-Time) supplementary Examination December 2020 is now opened. Please download the Notification for more details
",1
Result published - B.Tech S3 (S) (PT) Sept 2020 exam," It is hereby notified that the result of B.Tech S3 (S) (PT) Sept 2020 Examination is published. Download the notification for more details
",1
Follow up – addressing complaints and issues of students related with net connectivity in attending online classes- Reg.,,0
"M.Tech S1 (S) exam Oct 2020, M.Tech S2 (S) exam Sept 2020 Trivandrum, Calicut Clusters - Publication of Results - Notified - Reg."," The results of M.Tech S1 (S) Exam Oct 2020, MTech S2 (S) Exam Sept2020 Trivandrum and Calicut Clusters are published herewith.The detailed results are available in Student and College login.
",0
"Result published - B.Tech (PT) S8,S6,S4 Sept 2020 exams"," It is hereby notified that the results of B.Tech S8 (PT) (S) Exam Sept 2020, B.Tech S6 (S) (PT) Exam Sept 2020 and B.Tech S4 (S) (PT) Exam Sept 2020 are published. Download notification for more details
",1
"APJAKTU - Revised Time Table Slots of MCA ( Regular - S1 & S3 / 2nd Year Direct - S1 / Integrated - S1, S3, S5 & S7) Regular and Supplementary Examinations December 2020 - reg:"," The revised time table slots of MCA ( Regular - S1 & S3 / 2nd Year Direct - S1 / Integrated - S1,S3, S5 & S7) Regular and Supplementary December 2020 Examinations are published herewith.
",0
Virtual Startup incubation program exclusively for Women Faculty members of KTU colleges,,0
KSUM launches Research Innovation Network (RINK) tomorrow,"Inauguration :Dr KM Abraham IAS, Chairman K DISC  
Keynote Address :C.Balagopal , Founder Terumo Penpol
",0
"Exam registration opened - B.Tech, B.Arch, BHMCT S3 Dec 2020 exams"," It is hereby informed that registration to the Third Semester B.Tech (2015 scheme), B.Arch and BHMCT Supplementary Examination December 2020 is opened. Please download the Notification for more details
",1
M.Tech S1(S) Exam Oct 2020 Kottayam and Thrissur Clusters and M.Tech S2(S) Exam Sept 2020 Kottayam Cluster - Publication of Results - Notified - Reg.," It is hereby notified that the results of M.Tech S1(S) Exam Oct 2020 Kottayam, Thrissur Clusters andM.Tech S2(S) Exam Sept 2020 Kottayam Cluster are published. The detailed results are availableunder the 'Results' tab of the University website and College login.
",1
"M.Tech S1 (S) Exam Oct 2020 Ernakulam I Cluster, M.Tech S1 (PT) (S) Exam Oct 2020, M.Tech S2 (S) Exam Sept 2020 (PT) Trivandrum Cluster - Publication of Results - Notified - Reg."," It is hereby notified that the results of M.Tech S1 (S) Exam Oct 2020 Ernakulam I Cluster, M.Tech S1(PT) (S) Exam Oct 2020, M.Tech S2 (S) Exam Sept 2020 (PT)Trivandrum Cluster are publishedherewith. The detailed results are available in student and college login.
",1
Clarification regarding conduct of 2nd internal test for all 1st semester students,,0
Online interactive session on ThinkSwiss Research Scholarships 2021," APJ Abdul Kalam Technological University is organising an online interactive session on ThinkSwiss Research Scholarships 2021 on February 22 at 3 PM.
",0
"MCA S4 (S) Exam Sept 2020, MCA 2ND YR DIRECT S2 (S) Exam Sept 2020- Publication of Results - Notified - Reg."," The results of MCA S4 (S) Exam Sept 2020, MCA 2ND YR DIRECT S2 (S) Exam Sept 2020 are published herewith. The detailed results are available in Student and College login.
",0
B.Tech S6 (Honours) Exam June 2020 - Notification - reg:," It is notified to the attention of all concerned that B.Tech S6 (Honours) Exam June 2020 isscheduled to be conducted on March 23, 2021 (Tuesday), FN (9.30-12.30).
",1
"Examination centre change opened - B.Tech and B.Arch S5, MCA Integrated S5 and S7"," It is hereby notified that students appearing for B.Tech S5 (R,S) Exam Dec 2020, B.Arch S5 (R,S) Exam Dec 2020, MCA Integrated S7 (R,S) Exam Dec 2020 and MCA Integrated S5 (R,S) Exam Dec 2020 can apply for change of exam centre through student login in KTU portal. Please see the Notification and Guidelines before applying through portal. 
It should be noted that, the Centre Change option is a special facility offered to the students of the University during the Covid -19 pandemic period for selecting their centre of examinations, as a precautionary measure to keep them safe by minimizing their travel and transportation. Students are requested to understand the motive behind offering such a facility and exercise it with extreme care and caution. This facility shall be used only if it is highly essential.
Notification - B.Tech, B.Arch
Notification - MCA Integrated
Guidelines - Centre change
",1
Communication regarding Infosys Campus Recruitment Program for 2020-21,"Guidelines-Infosys Online Test
Update on Infosys Campus Recruitment Programme 2021 
KTU State Level Drive--Test Shortlist
",0
Result Published - B.Tech S5 (S) (PT) Exam Sept 2020," It is hereby notified that the result of B.Tech S5 (S) (PT) Exam Sept 2020 is published. Please download the Notification for more details.
",1
Clarification regarding conduct of practical examination - S3 B.Tech 2019 Scheme - Reg,,0
APJ Abdul Kalam Technological University Campus Project Inauguration," It gives immense pleasure to cordially invite you for the inauguration of APJ Abdul Kalam Technological University Campus Project by the honourable Chief Minister Sri. Pinarayi Vijayan  on 16th February 2021. The function would be presided by the honourable minister for Higher Education Dr. K. T. Jaleel 
Venue : Rohini Auditorium, Vilappilsala 
Arrangements are also made to view the programme online in the  following links
Requesting your esteemed presence.
APJ Abdul Kalam Technological University.
",0
Postponement of the course RLMCA305 (Cryptography & Cyber Security) of MCA (Regular) S5 (R&S)and MCA (2nd Year Direct) S3 (S) and MCA (Integrated) S9(R) December 2020 examination (Revised)- Reg:,,0
Revised Time Table Slots of M.Tech S3 (Full Time) and M.Tech S5 (Part- Time) Regular and Supplementary Examinations December 2020 - reg:,,0
"Revised Time Table slots of B.Tech (2015 scheme) S7 & S5 Regular and Supplementary (including PTDC) Examinations , December 2020 - Notification - reg.",,0
Additional Guidelines / Instructions to Colleges & Students - Feb - April 2021 Examinations," Additional Guidelines / Instructions to Colleges and students regarding the conduct of February - April 2021 examinations can be downloaded here
",1
Registration opened - B.Tech and B.Arch S5 (supplementary)," It is hereby informed that registration to the Fifth Semester B.Tech and B.Arch Supplementary Examination December 2020 can be done up to 17.02.2021, Wednesday through student login. Please download the Notification for more details.
",1
Result Published - B.Tech S3 (S) Exam Sept 2020," It is hereby notified that the result of B.Tech S3 (S) Exam Sept 2020 is published. Please download the Notification for more details.
",1
"Revised Time Table - B.Tech S7 and S5 (R,S) Exams Dec 2020"," Revised time table for B.Tech S7 and S5 (Regular and supplementary) Exam December 2020 is notified herewith
",1
Time schedule for B.Tech (2015 scheme) S7 Regular and Supplementary Examinations (including PTDC) December 2020 - Notification - reg.," The Time schedule of B.Tech (2015 scheme) S7 Regular and Supplementary (including PTDC) ,December 2020 Examinations is published herewith.
",0
"APJAKTU - Detailed Time Table of B.Tech Part-Time (2015 scheme) S1 Supplementary Examinations, December 2020 - Notification - reg."," The Detailed Time Table ofB.Tech Part-Time (2015 scheme)S1 Supplementary Examinations,December 2020 is published herewith.
",1
Addressing the grievances raised by B.Tech LET (lateral entry) students related with schedule of classes in third semester: regarding:-,,0
Clarification regarding conduct of practical examination - S3 B.Tech - Reg,,0
Academic- Request for time extension of the program- valid documents in support of the claim- called for- reg,,0
Revised Detailed Time Table of M.Arch/M.Plan S3 Regular and Supplementary December 2020 Examinations - Notification," The revised detailed Time Table of M.Arch/M.Plan S3 Regular and Supplementary December 2020 Examinations are published herewith.
",0
Circular - Conduct of Dec 2020 exams," Please see the attached Circular regarding the conduct of December 2020 exams
",1
Notification - Modified maximum mark and exam duration," Please download the Notification regarding modified maximum marks and exam duration in upcoming examinations
",1
Postponement of the course RLMCA305 (Cryptography & Cyber Security) of MCA (Regular) S5 (R&S)and MCA (2nd Year Direct) S3 (S) December 2020 examination - Reg:," I t is hereby notified to the attention of all concerned that the course RLMCA305 (Cryptography & CyberSecurity) of MCA (Regular) S5 (R&S) and MCA (2nd Year Direct) S3 (S) December 2020 examination scheduled on 19.02.2021,Wednesday stands postponed to 26.02.2021, Friday, FN.
",1
"M.Tech S1 (S) Exam Oct 2020, Kannur, Alappuzha & PTA Clusters- Publication of Results - Notified - Reg."," The results of M.Tech S1 (S) Exam Oct 2020 Kannur, Alappuzha &PTA are published herewith. The detailed results are available in student and college login.
",1
APJAKTU - Academic- SWAYAM Massive Open online courses - offered by University of Calicut- regarding.," Vide reference cited above, the SWAYAM Massive open online courses conducted by theUniversity of Calicut has been intimated. Accordingly the University of Calicut is offering 17MOOC courses in January semester 2021 SWAYAM platform. The list of courses are attachedalong with the communication and the details are available in the website www.swayam.gov.in.The SWAYAM Massive Open Online Courses of University of Calicut, details of which areattached herewith, shall be popularized among students and faculties of the Institution.
",0
Details of the upcoming stages in the Infosys Campus Recruitment Program for 2020-21,,0
"APJAKTU - Detailed Time Table of B.Tech Part-Time (2015 scheme) S3 Supplementary (Computer Science and Engineering branch) Examinations, December 2020 - Notification - reg."," In continuation of the notification read above, The detailed Time Table of B.Tech Part-Time (2015scheme) S3 Supplementary (Computer Science and Engineering branch) , December 2020 Examinations ispublished herewith.
",1
"M.Tech S3 (S) Exam Sept 2020 (PT), M.Tech S1 (S) Exam Oct 2020 Palakkad and Ernakulam II Clusters - Publication of Results - Notified - Reg."," The results of M.Tech S3 (S) Exam Sept 2020 (PT), M.Tech S1 (S) Exam Oct 2020 Palakkad and Ernakulam II Clusters are published herewith. The detailed results are available in student and college login.
",1
"MCA S5 (S) Exam Sept 2020, MCA Second Year Direct S3(S) Exam Sep 2020 - Publication of Results - Notified - Reg."," It is hereby notified that the results of MCA S5 (S) Exam Sept 2020, MCA Second Year Direct S3 (S) Exam Sept 2020 are published. The detailed results are available under the 'Results' tab of the Universitywebsite and College login.
",0
Result published - B.Tech S5 (S) Exam Sept 2020," It is hereby notified that the result of B.Tech S5 (S) Exam Sept 2020 is published. Please download the Notification for more details.
",1
- APJAKTU - Detailed Time Table of M.Arch(Environmental Design) S1 Regular December 2020 Examinations - Notification - reg," The detailed Time Table of M.Arch (Environmental Design) S1 Regular December 2020Examinations is published herewith.
",1
Call for Expression of Interest from affiliated colleges to partner with KTU for webinar on Cyber Security," Request for Nomination from the Principal (in official letterhead) to be mailed to iac@ktu.edu.in by February 16, 2021.
",0
"M.Tech S4 (R) (PT) Exam May 2020, MCA S2 (R) Exam May 2020, M.Plan S2 (R) Exam May 2020, M.Arch S2 (R) Exam May 2020, MCA Integrated S2 (R) Exam May 2020 - Publication of Results - Notified - Reg."," The results of M.Tech S4 (R) (PT) Exam May 2020, MCA S2 (R) Exam May 2020, M.Plan S2 (R) Exam May 2020, M.Arch S2 (R) Exam May 2020, MCA Integrated S2 (R) Exam May 2020 are published herewith. The detailed results are available in Student and College login.
",1
CSI InApp International Project Awards 2021--Call for Judges," Mapped faculty members from CSE/ IT from KTU affiliated colleges will be considered as judges for CSI-Inapp International Student Project Awards 2021. Last Date to apply is February 20, 2021.
",0
ThinkSwiss Research Scholarships 2021," The aim of the program is to promote research opportunities in Switzerland for Indian, Australian, and Singapore students. Apply by February 28, 2021.
",0
L&T Build India Scholarship for 2021 Pass outs,,0
Revision of Format of Bond for CERD PhD Fellowship of the University,,0
"Examination centre change opened - B.Tech S7, B.Arch S9, MCA S5 and MCA (Int) S9"," It is hereby notified that students appearing for B.Tech S7 (R,S) Exam Dec 2020, B.Arch S9 Exam Dec 2020, MCA S5 (RS) Exam Dec 2020 and MCA Integrated S9 (R) Exam Dec 2020 can apply for change of exam centre through student login in KTU portal. Portal will be opened up to 09.02.2021, Tuesday for students to apply. Please see the Notification and Guidelines before applying through portal. 
It should be noted that, the Centre Change option is a special facility offered to the students of the University during the Covid -19 pandemic period for selecting their centre of examinations, as a precautionary measure to keep them safe by minimizing their travel and transportation. Students are requested to understand the motive behind offering such a facility and exercise it with extreme care and caution. This facility shall be used only if it is highly essential.
Guidelines - Centre change
",1
M.Tech S4 (S) Exam Dec 2020 (Extended Submission) - Publication of Result - Notified - Reg.," The results of M.Tech S4(S) Exam Dec 2020 (Extended Submission) Trivandrum, Kollam, Kottayam, Ernakulam I, Ernakulam II and Thrissur Clusters are published herewith. The detailed results are available in Student and College login.
",1
Result published - B.Tech S8 (S) Exam Sept 2020," It is hereby notified that the result of B.Tech S8 (Supplementary) Exam Sept 2020 is published. Please download the Notification for more details.
",1
"APJAKTU - Detailed Time Tables of B.Tech Part-Time (2015 scheme) Odd Semester Regular and Supplementary Examinations, December 2020 - Notification - reg."," The detailed Time Tables of B.Tech Part-Time (2015 scheme) Odd Semester Regular andSupplementary , December 2020 Examinations is published herewith.In view of the Covid 19 pandemic, the examinations (Slot wise) will be conducted in 2 shifts. The detailsregarding the same will be published on the KTU website soon.
",1
APJAKTU - Detailed Time Table of MCA (Regular & Integrated) S1 Regular (2020 scheme) December 2020 Examinations - Notification - reg:," The detailed Time Table of MCA (Regular & Integrated) S1 Regular (2020 scheme)Examinations December 2020 is published herewith.
",1
VAIGA-Agri Hack 2021," Request to associate with VAIGA-Agri Hack 2021 organized by Dept of Agriculture Development and Farmers Welfare, Govt of Kerala
",0
"APJAKTU - Detailed Time Tables of B.Tech-2015 scheme Odd Semester Regular and Supplementary Examinations, December 2020 - Notification - reg."," ThedetailedTimeTablesofB.Tech-2015schemeOddSemesterRegularandSupplementary , December 2020 Examinations is published herewith.In view of the Covid 19 pandemic, the examinations (Slot wise) will be conducted in 2 shifts.The details regarding the same will be published on the KTU website soon.
",1
MBA T3 (R) Exam May 2020 FT - Publication of Result - Notified - Reg.," The result of MBA T3 (R) Exam May 2020 FT  is published herewith. The detailed result is available in Student and College login.
",1
Chevening Gurukul programme for Leadership and Excellence," Application closes on March 22, 2021.The application window for Chevening Gurukul programme for Leadership and Excellence is currently open and closes on March 22, 2021. This is a fully funded residential course that will be delivered at the University of Oxford, UK. Mid-career and senior professionals from diverse backgrounds with a strong and demonstrable leadership potential and a minimum of 10 years work experience can apply. Candidates can apply online on https://www.chevening.org/fellowship/gurukul/ and those shortlisted will be called for an interview. Gurukul is Chevening India?s flagship programme and this year?s fellows will be the 25th cohort, so a very special year for the fellowship. Gurukul addresses the issues faced by leaders in all fields on ?how to lead more effectively?. It aims to provoke critical thinking and provides unique opportunities for fellows to test their own hypotheses with policy makers and practitioners as well as with  academics and opinion leaders. The bespoke programme familiarises India?s future leaders with best practice case-studies of leadership in the fields of government, innovation, climate-change, health, industry etc. in the UK through a variety of teaching methods ranging from class room sessions, seminars, mentoring, projects, extensive networking and site visits.Details and registration: https://www.chevening.org/fellowship/gurukul/
",0
MCA S5 Exam Dec 2020 - Exam Registration date extended," It is hereby informed that the Last date for students for registration to MCA S5 Dec 2020 supplementary Exam is extended up to 10.02.2021, Wednesday and the last date for submission by College to University is 11.02.2021, Thursday.
",1
Detailed Time Table of MCA (Regular /2nd Year Direct/ Integrated) Odd Semester December 2020 Regular and Supplementary Examinations - Notification - reg:," The detailed Time Table of MCA (Regular/ 2nd Year Direct/ Integrated) Odd SemesterRegular and Supplementary Examinations December 2020 is published herewith.
",0
Detailed Time Table of M.Arch/M.Plan Odd Semester Regular and Supplementary December 2020 Examinations- Notification - reg:," The detailed Time Table of M.Arch/M.Plan Odd Semester Regular and SupplementaryDecember 2020 Examinations are published herewith.
",1
APJAKTU - Postponement of the slot P - Research and Publication Ethics (PhD only) December 2020 examination - Reg:," I t is hereby notified to the attention of all concerned that the slot P - Research and Publication Ethics (PhD only)scheduled to be conducted on 06.04.2021 has been postponed to 09.04.2021, Friday, FN.
",1
